Date,Description,Transaction Type,Amount
01/09/2023,Utility Bill,CARD,-90.61
01/09/2023,Bookstore Purchase,CASH,-118.58
01/09/2023,Grocery Store,CARD,-123.4
01/09/2023,Gas Station,CASH,-145.5
01/09/2023,Bookstore Purchase,CASH,-157.11
01/09/2023,Gym Membership,CARD,-32.81
02/09/2023,Utility Bill,CASH,-155.12
02/09/2023,Grocery Store,CASH,-93.85
02/09/2023,Grocery Store,CASH,-59.84
02/09/2023,Utility Bill,CARD,-109.52
03/09/2023,Utility Bill,CASH,-161.79
03/09/2023,Gym Membership,CARD,-151.82
04/09/2023,Online Shopping,CASH,-122.84
04/09/2023,Restaurant,CASH,-75.44
04/09/2023,Gym Membership,CASH,-16.39
05/09/2023,Gym Membership,CARD,-138.68
05/09/2023,Utility Bill,CASH,-18.38
05/09/2023,Online Shopping,CARD,-61.77
05/09/2023,Online Shopping,CASH,-16.71
05/09/2023,Grocery Store,CASH,-124.74
06/09/2023,Gym Membership,CARD,-123.14
07/09/2023,Grocery Store,CARD,-57.7
07/09/2023,Online Shopping,CARD,-57.35
07/09/2023,Coffee Shop,CASH,-96.38
07/09/2023,Gym Membership,CARD,-193.05
07/09/2023,Bookstore Purchase,CASH,-165.11
07/09/2023,Grocery Store,CASH,-83.69
07/09/2023,Grocery Store,CARD,-102.86
08/09/2023,Monthly Salary,CASH,2526
09/09/2023,Bookstore Purchase,CARD,-197.24
09/09/2023,Bookstore Purchase,CARD,-198.67
09/09/2023,Utility Bill,CARD,-194.72
10/09/2023,Gas Station,CARD,-170.91
10/09/2023,Utility Bill,CARD,-159.78
10/09/2023,Gym Membership,CARD,-81.34
10/09/2023,Online Shopping,CASH,-32.25
11/09/2023,Bookstore Purchase,CARD,-52.89
11/09/2023,Gas Station,CARD,-50.32
12/09/2023,Online Shopping,CARD,-28.78
12/09/2023,Restaurant,CARD,-98.49
13/09/2023,Online Shopping,CARD,-117.14
13/09/2023,Gym Membership,CASH,-146.04
13/09/2023,Gas Station,CARD,-24.03
14/09/2023,Bookstore Purchase,CARD,-18.17
15/09/2023,Restaurant,CARD,-196.93
15/09/2023,Gym Membership,CARD,-181.24
15/09/2023,Gym Membership,CARD,-73.24
15/09/2023,Restaurant,CASH,-30.56
15/09/2023,Coffee Shop,CARD,-196.19
16/09/2023,Grocery Store,CARD,-10.37
16/09/2023,Gas Station,CARD,-101.07
16/09/2023,Online Shopping,CARD,-171.16
17/09/2023,Gas Station,CARD,-82.02
17/09/2023,Online Shopping,CARD,-187.33
17/09/2023,Coffee Shop,CARD,-68.73
18/09/2023,Coffee Shop,CASH,-124.56
18/09/2023,Gas Station,CARD,-133.58
19/09/2023,Utility Bill,CARD,-107.78
19/09/2023,Online Shopping,CARD,-101.35
19/09/2023,Restaurant,CARD,-167.96
19/09/2023,Coffee Shop,CARD,-112.02
19/09/2023,Restaurant,CARD,-150.92
19/09/2023,Utility Bill,CARD,-47.17
20/09/2023,Grocery Store,CARD,-90.92
20/09/2023,Grocery Store,CASH,-16.54
20/09/2023,Online Shopping,CARD,-18.32
20/09/2023,Online Shopping,CARD,-170.94
20/09/2023,Grocery Store,CARD,-79.61
20/09/2023,Bookstore Purchase,CARD,-46.05
22/09/2023,Gas Station,CARD,-191.24
22/09/2023,Gym Membership,CASH,-83.13
22/09/2023,Gym Membership,CASH,-77.37
22/09/2023,Online Shopping,CARD,-147.87
