Date,Description,Transaction Type,Amount
01/09/2023,Coffee Shop,CARD,-107.23
01/09/2023,Gas Station,CARD,-253.16
01/09/2023,Online Shopping,CARD,-245.36
02/09/2023,Racecourse Bet,CARD,-113.93
02/09/2023,Gas Station,CARD,-182.23
02/09/2023,Online Shopping,CARD,-127.42
02/09/2023,Gas Station,CARD,-46.86
03/09/2023,Restaurant,CARD,-19.04
03/09/2023,Online Shopping,CARD,-120.05
03/09/2023,Racecourse Bet,CASH,-199.19
04/09/2023,Gas Station,CASH,-14
04/09/2023,Coffee Shop,CARD,-261.35
05/09/2023,Gas Station,CASH,-299.79
05/09/2023,Gas Station,CARD,-48.01
05/09/2023,Grocery Store,CASH,-29.2
05/09/2023,Gas Station,CARD,-199.48
05/09/2023,Coffee Shop,CARD,-227.39
05/09/2023,Grocery Store,CARD,-83.55
05/09/2023,Online Shopping,CASH,-29.26
05/09/2023,Casino Mega Money,CARD,-180.99
06/09/2023,Racecourse Bet,CARD,-289.51
06/09/2023,Utility Bill,CASH,-278.73
06/09/2023,Gas Station,CARD,-211.67
07/09/2023,Online Shopping,CARD,-41.77
07/09/2023,Grocery Store,CASH,-265.58
07/09/2023,Gas Station,CASH,-140.74
07/09/2023,Mega-Jackpot 2000,CARD,-198.2
08/09/2023,Online Shopping,CASH,-251.13
08/09/2023,Online Shopping,CASH,-276.16
08/09/2023,Monthly Salary,CASH,2526
09/09/2023,Gas Station,CARD,-264.95
09/09/2023,Slot machine heaven,CARD,-175.78
09/09/2023,Gas Station,CASH,-29.75
10/09/2023,Coffee Shop,CARD,-140.41
10/09/2023,Restaurant,CASH,-111.59
10/09/2023,Grocery Store,CASH,-35.38
10/09/2023,Online Shopping,CARD,-171.53
11/09/2023,Coffee Shop,CARD,-145.89
11/09/2023,Gas Station,CASH,-274.28
11/09/2023,Online Shopping,CARD,-297.04
11/09/2023,Grocery Store,CARD,-16.52
12/09/2023,Coffee Shop,CASH,-199.3
12/09/2023,Coffee Shop,CARD,-190.91
12/09/2023,Coffee Shop,CASH,-229.24
12/09/2023,Coffee Shop,CARD,-203.32
12/09/2023,Coffee Shop,CARD,-148.96
12/09/2023,Restaurant,CASH,-209.03
12/09/2023,Coffee Shop,CARD,-116.81
12/09/2023,Gas Station,CASH,-93.32
13/09/2023,Gas Station,CARD,-68.27
13/09/2023,Online Shopping,CASH,-166.67
13/09/2023,Restaurant,CARD,-75.99
14/09/2023,Restaurant,CASH,-138.72
14/09/2023,Gas Station,CASH,-296.08
14/09/2023,Restaurant,CARD,-101.79
15/09/2023,Utility Bill,CASH,-280.42
15/09/2023,Grocery Store,CARD,-242.47
15/09/2023,Grocery Store,CASH,-112.73
16/09/2023,Gas Station,CARD,-51.07
16/09/2023,Mega-Jackpot 2000,CASH,-267.38
17/09/2023,Coffee Shop,CARD,-252.1
17/09/2023,Restaurant,CARD,-80.31
17/09/2023,Utility Bill,CARD,-54.96
18/09/2023,Online Shopping,CARD,-136.5
18/09/2023,Online Shopping,CARD,-231.36
18/09/2023,Coffee Shop,CARD,-39.1
18/09/2023,Utility Bill,CARD,-263.09
18/09/2023,Racecourse Bet,CARD,-180.67
19/09/2023,Restaurant,CARD,-164.1
19/09/2023,Online Shopping,CARD,-51.33
19/09/2023,Coffee Shop,CARD,-164.44
20/09/2023,Coffee Shop,CARD,-238.27
21/09/2023,Online Shopping,CARD,-36.71
21/09/2023,Grocery Store,CASH,-244.29
21/09/2023,Grocery Store,CARD,-180.94
21/09/2023,Restaurant,CARD,-47.79
22/09/2023,Coffee Shop,CARD,-126.85
22/09/2023,Online Shopping,CASH,-97.46
22/09/2023,Slot machine heaven,CASH,-10.78
22/09/2023,Utility Bill,CASH,-227.5
22/09/2023,Coffee Shop,CASH,-54.14
22/09/2023,Slot machine heaven,CARD,-87.74
23/09/2023,Racecourse Bet,CASH,-176.73
24/09/2023,Restaurant,CARD,-25.49
25/09/2023,Online Shopping,CARD,-49.4
25/09/2023,Gas Station,CASH,-24.33
25/09/2023,Coffee Shop,CASH,-90.27
25/09/2023,Utility Bill,CARD,-207.85
25/09/2023,Casino Mega Money,CARD,-58.56
26/09/2023,Gas Station,CARD,-39.16
26/09/2023,Coffee Shop,CARD,-163.89
26/09/2023,Utility Bill,CARD,-206.19
27/09/2023,Gas Station,CARD,-116.39
27/09/2023,Mega-Jackpot 2000,CARD,-171.61
27/09/2023,Online Shopping,CARD,-262.78
27/09/2023,Gas Station,CARD,-110.03
27/09/2023,Gas Station,CARD,-28.87
28/09/2023,Grocery Store,CASH,-100.87
28/09/2023,Gas Station,CASH,-269.86
28/09/2023,Gas Station,CARD,-243.89
29/09/2023,Racecourse Bet,CASH,-186.91
29/09/2023,Restaurant,CARD,-66.78
29/09/2023,Gas Station,CASH,-187.61
29/09/2023,Grocery Store,CARD,-51.06
30/09/2023,Gas Station,CARD,-279.2
30/09/2023,Coffee Shop,CARD,-243.05
01/10/2023,Gas Station,CASH,-50.35
03/10/2023,Gas Station,CASH,-284.01
03/10/2023,Restaurant,CARD,-105.86
03/10/2023,Online Shopping,CARD,-161.86
03/10/2023,Utility Bill,CARD,-243.99
03/10/2023,Grocery Store,CARD,-25.96
03/10/2023,Online Shopping,CARD,-276.73
04/10/2023,Restaurant,CARD,-110.62
04/10/2023,Coffee Shop,CARD,-169.39
04/10/2023,Gas Station,CARD,-294.99
05/10/2023,Gas Station,CARD,-224.39
05/10/2023,Grocery Store,CARD,-34.07
